Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol,Open,High,Low
04/15/19,3.63,3.63,0.02,0.48,3.63,3.63,473670.00,208541,3.61,3.64,3.61
4/12/19,3.61,3.61,0.01,0.28,3.61,3.61,484092.00,95871,3.6,3.62,3.59
4/11/19,3.6,3.6,-0.02,-0.48,3.6,3.6,523089.00,264730,3.61,3.63,3.59
4/10/19,3.62,3.62,0.02,0.49,3.62,3.62,553142.00,253300,3.6,3.63,3.6
4/9/19,3.6,3.6,0,0,3.6,3.61,594279.00,275445,3.6,3.62,3.55
4/8/19,3.6,3.6,-0.02,-0.69,3.6,3.6,634582.00,269564,3.62,3.64,3.6
4/5/19,3.62,3.63,-0.03,-0.75,3.62,3.62,688126.00,273057,3.65,3.65,3.61
4/4/19,3.65,3.65,0.02,0.69,3.65,3.65,706011.00,159329,3.63,3.66,3.63
4/3/19,3.63,3.63,0.01,0.35,3.63,3.63,712575.00,135849,3.61,3.65,3.61
4/2/19,3.62,3.62,0,-0.07,3.62,3.62,713019.00,117194,3.62,3.64,3.59
4/1/19,3.62,3.62,0.05,1.47,3.62,3.62,746172.00,239354,3.57,3.63,3.57
03/29/19,3.57,3.57,-0.18,-4.68,3.57,3.57,736500.00,441012,3.74,3.75,3.56
03/28/19,3.74,3.74,0,0.07,3.73,3.74,742040.00,105825,3.74,3.75,3.72
03/27/19,3.74,3.74,-0.04,-0.93,3.73,3.74,743553.00,127919,3.77,3.77,3.72
03/26/19,3.77,3.77,-0.02,-0.66,3.77,3.77,758162.00,165178,3.79,3.81,3.76
03/25/19,3.79,3.8,0.01,0.4,3.79,3.79,767635.00,155849,3.79,3.81,3.77
03/22/19,3.79,3.78,0.02,0.53,3.79,3.79,777649.00,222578,3.76,3.81,3.76
03/21/19,3.76,3.76,0.05,1.28,3.76,3.76,783752.00,220227,3.71,3.78,3.71
03/20/19,3.71,3.72,0,0.07,3.71,3.71,788001.00,101477,3.72,3.73,3.69
03/19/19,3.71,3.71,0,-0.07,3.71,3.71,786945.00,159377,3.72,3.74,3.68
03/18/19,3.72,3.72,-0.02,-0.47,3.72,3.72,780609.00,169237,3.74,3.76,3.7
03/15/19,3.73,3.73,0.03,0.81,3.73,3.73,784390.00,197270,3.69,3.74,3.69
03/14/19,3.7,3.7,0.04,1.02,3.7,3.7,788284.00,183857,3.67,3.72,3.66
03/13/19,3.67,3.67,0.01,0.21,3.67,3.67,792945.00,174017,3.66,3.7,3.63
3/12/19,3.66,3.66,0.04,1.04,3.66,3.66,784682.00,263214,3.62,3.68,3.61
3/11/19,3.62,3.62,-0.02,-0.62,3.62,3.62,785937.00,156383,3.66,3.67,3.62
3/8/19,3.64,3.64,-0.01,-0.27,3.64,3.65,789901.00,206279,3.65,3.68,3.62
3/7/19,3.65,3.65,-0.07,-1.95,3.65,3.65,789879.00,254904,3.72,3.72,3.65
3/6/19,3.72,3.73,-0.03,-0.86,3.72,3.72,787764.00,133655,3.76,3.77,3.71
3/5/19,3.76,3.76,0.01,0.27,3.76,3.76,791598.00,101996,3.76,3.77,3.74
3/4/19,3.75,3.75,0.02,0.47,3.75,3.75,794743.00,139754,3.74,3.78,3.74
3/1/19,3.72,3.73,0.02,0.61,3.72,3.72,782086.00,214457,3.71,3.74,3.66
02/28/19,3.7,3.71,-0.03,-0.8,3.7,3.71,761224.00,170806,3.74,3.75,3.7
02/27/19,3.73,3.74,-0.02,-0.6,3.73,3.73,734801.00,304598,3.76,3.78,3.73
02/26/19,3.76,3.76,0.05,1.48,3.75,3.76,692758.00,356177,3.8,3.81,3.75
02/25/19,3.71,3.71,-0.05,-1.27,3.71,3.71,253778.00,344712,3.78,3.79,3.7
02/22/19,3.76,3.75,0,-0.07,3.75,3.76,338500.00,316659,3.75,3.78,3.75
02/21/19,3.75,3.76,0.05,1.28,3.75,3.75,394771.00,257188,3.71,3.79,3.71
02/20/19,3.71,3.71,0.01,0.27,3.71,3.71,435848.00,310666,3.72,3.74,3.69
02/19/19,3.7,3.7,-0.05,-1.33,3.7,3.7,447032.00,230708,3.74,3.76,3.69
02/15/19,3.75,3.75,0,0,3.75,3.75,463969.00,209096,3.75,3.77,3.73
02/14/19,3.75,3.75,-0.04,-1.06,3.75,3.75,488675.00,225289,3.79,3.79,3.74
02/13/19,3.79,3.79,0,0.13,3.79,3.79,515876.00,243883,3.78,3.79,3.76
2/12/19,3.78,3.78,0.06,1.48,3.78,3.78,558891.00,291257,3.74,3.79,3.73
2/11/19,3.74,3.73,-0.02,-0.4,3.73,3.74,590217.00,309359,3.75,3.75,3.72
2/8/19,3.74,3.74,-0.02,-0.6,3.74,3.74,611373.00,340779,3.77,3.82,3.74
2/7/19,3.77,3.77,-0.03,-0.92,3.76,3.77,648871.00,259742,3.8,3.8,3.76
2/6/19,3.8,3.8,-0.01,-0.2,3.8,3.8,656151.00,145154,3.81,3.81,3.79
2/5/19,3.81,3.81,0.02,0.4,3.8,3.81,664494.00,171954,3.8,3.81,3.77
2/4/19,3.8,3.79,0.01,0.26,3.8,3.8,676972.00,145834,3.78,3.8,3.77
2/1/19,3.78,3.78,0.02,0.46,3.78,3.78,684989.00,151472,3.77,3.81,3.77
01/31/19,3.76,3.77,-0.05,-1.25,3.76,3.76,688515.00,205750,3.81,3.82,3.76
01/30/19,3.81,3.81,0.04,1.06,3.81,3.81,695076.00,198900,3.78,3.82,3.78
01/29/19,3.78,3.77,-0.02,-0.66,3.78,3.78,692756.00,187023,3.8,3.81,3.76
01/28/19,3.8,3.8,-0.01,-0.13,3.8,3.8,697549.00,102144,3.8,3.81,3.78
01/25/19,3.8,3.8,0.03,0.86,3.8,3.8,704466.00,134094,3.77,3.81,3.76
01/24/19,3.77,3.77,-0.02,-0.46,3.77,3.78,697942.00,124108,3.79,3.8,3.76
01/23/19,3.79,3.79,0,-0.07,3.79,3.79,702726.00,127605,3.8,3.82,3.78
01/22/19,3.79,3.79,-0.03,-0.72,3.79,3.79,704220.00,211433,3.81,3.82,3.77
01/18/19,3.81,3.82,0.02,0.46,3.81,3.81,707861.00,191033,3.8,3.83,3.78
01/17/19,3.81,3.8,0.06,1.6,3.8,3.81,718479.00,207625,3.74,3.82,3.74
01/16/19,3.74,3.74,0.03,0.74,3.74,3.74,725289.00,164719,3.73,3.75,3.73
01/15/19,3.72,3.71,-0.07,-1.92,3.72,3.72,730048.00,251255,3.8,3.81,3.71
01/14/19,3.79,3.79,0,0.07,3.79,3.8,735744.00,144739,3.79,3.81,3.77
1/11/19,3.79,3.78,0.02,0.53,3.79,3.79,737947.00,131815,3.77,3.79,3.77
1/10/19,3.77,3.76,-0.06,-1.51,3.77,3.77,743811.00,181392,3.82,3.83,3.76
1/9/19,3.82,3.82,0.02,0.53,3.82,3.82,750439.00,192055,3.81,3.84,3.81
1/8/19,3.8,3.8,-0.02,-0.59,3.8,3.8,750737.00,172291,3.83,3.85,3.79
1/7/19,3.83,3.82,-0.01,-0.2,3.83,3.83,751642.00,110623,3.82,3.84,3.82
1/4/19,3.83,3.83,0.03,0.86,3.83,3.83,781544.00,178171,3.8,3.84,3.8
1/3/19,3.8,3.8,0.04,1.06,3.8,3.8,782687.00,101460,3.76,3.81,3.75
